"country_name","country_code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"italy","ita",NA,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,295718,295718,295718,295718,295718,295718,295718,295718,295718,295718,295718,295718,295718,295718,295718,295718,295718,295718,295718,295717,295717,295717,295720,295720,NA,NA
"jamaica","jam",NA,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,NA,NA
"jordan","jor",NA,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88794,88794,88794,88794,88794,NA,NA
"japan","jpn",NA,366700,366700,366700,366700,366700,366700,366700,366700,366700,366700,366700,366600,366600,366600,366500,366500,366400,366400,366400,366300,366400,366200,366200,364700,364600,364700,364600,364600,364600,364600,364600,364600,364600,364600,364600,364500,364500,364500,364500,364500,364500,364500,364500,364500,364500,364500,364500,364500,364500,364500,364500,364500,364500,364500,364500,364500,364500,364500,364500,364500,364500,364500,364569.27,NA,NA
"kazakhstan","kaz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,NA,NA
"kenya","ken",NA,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,571096.05,573052.1,575008.15,576964.2,578920.25,580876.3,580876.3,580876.3,580876.3,NA,NA
"kyrgyz republic","kgz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,NA,NA
"cambodia","khm",NA,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,NA,NA
"kiribati","kir",NA,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,NA,NA
"st. kitts and nevis","kna",NA,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,NA,NA
"korea, rep.","kor",NA,96460,96460,96460,96460,96460,96460,96460,96460,96460,96460,96460,96460,96460,96460,96460,96460,96460,96460,96460,96460,96460,96460,96460,96460,96460,96460,96460,96460,96460,96460,96460,96460,96460,96460,96460,96460,96460,96460,96460,96460,96740,96790,96800,96820,96850,96880,96920,96990,97060,97200,97190,97310,97426,97430,97445,97489,97510,97520,97600,97600,97600,97600,97600,NA,NA
"kuwait","kwt",NA,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,NA,NA
"latin america & caribbean (excluding high income)","lac",NA,17925467.61,17925467.61,17925467.61,17925467.61,17925467.61,17925467.61,17925467.61,17925467.61,17925467.61,17925467.61,17925467.61,17925467.61,17925467.61,17925467.61,17925467.61,17925337.61,17925337.61,17925337.61,17925337.61,17925337.61,17925337.61,17925337.61,17925337.61,17925337.61,17925337.61,17925337.61,17925337.61,17925337.61,17925337.61,17925337.61,17925337.61,17925337.61,17925337.61,17925337.61,17925337.61,17925337.61,17925337.61,17896857.61,17896857.61,17896857.61,17896857.61,17895847.61,17895857.61,17895867.61,17895897.61,17895887.61,17895897.61,17895897.61,17895897.61,17895897.61,17896320.61,17896106.61,17893677.61,17893477.61,17893557.61,17893497.61,17893257.61,17893257.61,17893145.63,17893145.63,17893145.63,17891857.67,NA,NA,NA
"lao pdr","lao",NA,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,NA,NA
"lebanon","lbn",NA,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,NA,NA
"liberia","lbr",NA,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,NA,NA
"libya","lby",NA,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,NA,NA
"st. lucia","lca",NA,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,NA,NA
"latin america & caribbean","lcn",NA,20075279.61,20075279.61,20075279.61,20075279.61,20075279.61,20075279.61,20075279.61,20075279.61,20075279.61,20075279.61,20075279.61,20075279.61,20075279.61,20075279.61,20075419.61,20075289.61,20075289.61,20075289.61,20075289.61,20075199.61,20075199.61,20075199.61,20075199.61,20075199.61,20075199.61,20075199.61,20075199.61,20075199.61,20075199.61,20075199.61,20075199.61,20075199.61,20075199.61,20075199.61,20075199.61,20075199.61,20075199.61,20046719.61,20046719.61,20046719.61,20046719.61,20045709.61,20045719.61,20045729.61,20045759.61,20045749.61,20045759.61,20045759.61,20045759.61,20045759.61,20046710.61,20046496.61,20044067.61,20043647.61,20043727.61,20043667.61,20043427.61,20043487.61,20043375.63,20043375.63,20043375.63,20042087.67,NA,NA,NA
"least developed countries: un classification","ldc",NA,16609841,16609841,16609841,16609841,16609841,16609841,16609841,16609841,16609841,16609841,16609841,16609841,16609841,16609441,16609041,16609041,16609041,16609041,16609041,16609041,16609041,16609041,16609041,16609041,16609041,16609041,16609041,16609041,16609041,16609041,16609041,16609041,17710041,17710041,17710041,17710041,17710041,17710041,17710041,17710391,17710391,17710391,17710391,17858850.93,17858836.13,17858938.23,17859034.81,17858786.79,17858809.19,17859457.1,17859770.09,20359560.22,20359452.38,20359405.49,20359459.18,20359166.96,20359125.03,20359090.11,20359102.45,20359033.23,20359033.23,20359033.23,NA,NA,NA
"low income","lic",NA,10995740,10995740,10995740,10995740,10995740,10995740,10995740,10995740,10995740,10995740,10995740,10995740,10995740,10995340,10994940,10994940,10994940,10994940,10994940,10994940,10994940,10994940,10994940,10994940,10994940,10994940,10994940,10994940,10994940,10994940,10994940,10994940,11095940,11095940,11095940,11095940,11095940,11095940,11095940,11095940,11095940,11095940,11095750,11115712.63,11115755.33,11115794.03,11115832.61,11115857.49,11115869.59,11116565.1,11116843.99,13616767.12,13616739.28,13616726.19,13616778.78,13616767.46,13616761.23,13616767.71,13616770.55,13616730.83,13616730.83,13618280.54,NA,NA,NA
"liechtenstein","lie",NA,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,NA,NA
"sri lanka","lka",NA,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,61893,61893,61893,61864,61864.47,61860,61860,61860,61860,NA,NA
"lower middle income","lmc",NA,17945694,17945694,17945694,17945694,17945694,17945694,17945694,17945694,17945694,17945694,17945694,17945694,17945624,17945584,17945564,17945564,17945564,17945564,17945564,17945564,17945564,17945564,17945564,17945564,17945564,17945564,17945564,17945564,17945564,17945564,17946264,18703424,18703424,18696501,18696501,18696501,18696501,18696501,18696501,18692986,18692962,18692422,18691908,18690081,18692784,18692853,18692800,18692807,18693285,18693724,18693661,18693685,18693154.33,18692344,18696354,18696076,18696059,18696001,18695976.47,18696034,18696045,18690019,NA,NA,NA
"low & middle income","lmy",NA,68208700.35,68208700.35,68208700.35,68208700.35,68208700.35,68208700.35,68208700.35,68208700.35,68208700.35,68208700.35,68208700.35,68208700.35,68208630.35,68208190.35,68207770.35,68207640.35,68207640.35,68207640.35,68207640.35,68207640.35,68207640.35,68207640.35,68207640.35,68207640.35,68207640.35,68207640.35,68207640.35,68207640.35,68207640.35,68207640.35,68208520.35,73208265.35,73309309.35,73302362.35,73302332.35,73302308.35,73302299.35,73273658.35,73273267.35,73335584.35,73335549.55,73333987.78,73340561.37,73358483.75,73361314.83,73465365.13,73465119.11,73465145.99,73462567.34,73463527.13,73464102.55,75963834.68,75960686.27,75959701.72,75963852.79,75963519.47,75956958.24,75956985.62,75956840.55,75953742.86,75968849.93,75963045.47,NA,NA,NA
"lesotho","lso",NA,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,NA,NA
"late-demographic dividend","lte",NA,24766870.74,24766870.74,24766870.74,24766870.74,24766870.74,24766870.74,24766870.74,24766870.74,24766870.74,24766870.74,24766870.74,24766870.74,24766830.74,24766830.74,24766970.74,24766970.74,24766970.74,24766970.74,24766970.74,24766970.74,24766970.74,24766970.74,24766970.74,24766970.74,24766970.74,24766970.74,24766970.74,24766970.74,24765980.74,24765980.74,24766090.74,44391634.74,44436044.74,44431234.74,44428244.74,44427844.74,44428534.74,44431109.74,44437932.74,44416123.74,44415246.94,44415380.17,44422250.76,44422418.52,44425322.89,44525522.49,44524986.89,44524344.89,44524430.13,44524774.42,44524759.95,44524782.95,44525435.38,44525704.92,44524904.4,44524912.4,44524210.4,44524754.3,44524698.37,44521586.4,44521646,44521535.79,NA,NA,NA
"lithuania","ltu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62675,62675,62675,62674,62674,62675,62650,62650,62642,62641,62630,62620,62620,62610,62604,62600,NA,NA
"luxembourg","lux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2574.46,2574.46,2574.46,2574.46,2574.46,2574.46,2574.46,2574.46,2574.46,2574.46,2574.46,2574.46,2574.46,2574.46,2574.46,2574.46,2574.46,2574.46,2574.46,2574.46,2574.46,2574.46,2574.46,2574.46,NA,NA
"latvia","lva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62227,62227,62227,62227,62227,62227,62227,62227,62227,62227,62227,62227,62227,62227,62227,62227,62227,62227,62227,62227,62227,62227,62227,62227,62227,62227,62227,62227,62230,62230,62230,62230,NA,NA
"macao sar, china","mac",NA,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,26,27,27,28,28,28.6,29.2,29.2,29.5,29.7,29.9,29.9,30.3,30.3,30.4,30.5,30.8,32.9,32.9,32.9,33,33,33,NA,NA
"st. martin (french part)","maf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,50,50,50,50,50,50,50,50,50,50,50,50,NA,NA
"morocco","mar",NA,446340,446340,446340,446340,446340,446340,446340,446340,446340,446340,446340,446340,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,NA,NA
"monaco","mco",NA,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.084,2.084,2.084,NA,NA
"moldova","mda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32870,32950,32940,32930,32930,32920,32910,32900,32880,32880,32880,32870,32880,32890,32890,32890,32890,32890,32850,32850,32860,32880,32880,32880,32880,32890,32885.3,32885.9,32884.6,32890,32880,32930,NA,NA
"madagascar","mdg",NA,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581795,581795,581800,581800,581800,581800,581800,581800,581800,581800,581800,581800,581800,NA,NA
"maldives","mdv",NA,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,298,NA,NA
"middle east, north africa, afghanistan & pakistan","mea",NA,12649380,12649380,12649380,12649380,12649380,12649380,12649380,12649380,12649380,12649380,12649380,12649380,12649340,12649340,12649340,12649340,12649340,12649340,12649340,12649340,12649340,12649340,12649340,12649340,12649340,12649340,12649340,12649340,12649340,12649340,12649340,12649360,12649360,12649360,12649360,12649360,12649360,12649360,12649360,12649360,12649360,12649360,12649180,12649170,12649180,12649240,12649260,12649270,12646760,12646752,12646757,12646760,12646568,12646449,12646457,12646458,12640199,12640197,12640213,12640218,12640228,12614112.71,NA,NA,NA
"mexico","mex",NA,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,NA,NA
"marshall islands","mhl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,NA,NA
"middle income","mic",NA,57212960.35,57212960.35,57212960.35,57212960.35,57212960.35,57212960.35,57212960.35,57212960.35,57212960.35,57212960.35,57212960.35,57212960.35,57212890.35,57212850.35,57212830.35,57212700.35,57212700.35,57212700.35,57212700.35,57212700.35,57212700.35,57212700.35,57212700.35,57212700.35,57212700.35,57212700.35,57212700.35,57212700.35,57212700.35,57212700.35,57213580.35,62213325.35,62213369.35,62206422.35,62206392.35,62206368.35,62206359.35,62177718.35,62177327.35,62239644.35,62239609.55,62238047.78,62244811.37,62242771.13,62245559.5,62349571.1,62349286.5,62349288.5,62346697.74,62346962.03,62347258.56,62347067.56,62343946.99,62342975.53,62347074.01,62346752.01,62340197.01,62340217.91,62340070,62337012.03,62352119.1,62344764.93,NA,NA,NA
"north macedonia","mkd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25230,25230,25220,25220,25220,25220,25220,25220,25220,25220,25220,25220,25220,25220,25220,25220,25220,NA,NA
"mali","mli",NA,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,NA,NA
"malta","mlt",NA,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,NA,NA
"myanmar","mmr",NA,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653420,653360,653470,653520,653310,653300,653260,653290,653150,653080,653080,653080,652780,652750,652700,652700,652670,652670,652670,652670,NA,NA
"middle east, north africa, afghanistan & pakistan (excluding high income)","mna",NA,10067090,10067090,10067090,10067090,10067090,10067090,10067090,10067090,10067090,10067090,10067090,10067090,10067050,10067050,10067050,10067050,10067050,10067050,10067050,10067050,10067050,10067050,10067050,10067050,10067050,10067050,10067050,10067050,10067050,10067050,10067050,10067050,10067050,10067050,10067050,10067050,10067050,10067050,10067050,10067050,10067050,10067050,10066860,10066840,10066840,10066900,10066910,10066910,10064400,10064390,10064390,10064390,10064198,10064198,10064199,10064199,10057939,10057939,10057953,10057953,10057958,10053482.71,NA,NA,NA
"montenegro","mne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,NA,NA
"mongolia","mng",NA,1547438.742,1547438.742,1547438.742,1547438.742,1547438.742,1547438.742,1547438.742,1547438.742,1547438.742,1547438.742,1547438.742,1547438.742,1547438.742,1547438.742,1547438.742,1547438.742,1547438.742,1547438.742,1547438.742,1547438.742,1547438.742,1547438.742,1547438.742,1547438.742,1547438.742,1547438.742,1547438.742,1547438.742,1547438.742,1547438.742,1547438.742,1547438.742,1547438.742,1547438.742,1547438.742,1547438.742,1547438.742,1547438.742,1547438.742,1547438.742,1547438.742,1547438.968,1554686.058,1554444.019,1554444.091,1557459.093,1557459.093,1557465.087,1557465.134,1557292.418,1557251.947,1557251.947,1557253.053,1557252.921,1557255.4,1557255.4,1557255.4,1557255,1557258,1557506.803,1557507,1557510,1558499.786,NA,NA
"northern mariana islands","mnp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,NA,NA
"mozambique","moz",NA,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,NA,NA
"mauritania","mrt",NA,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,NA,NA
"mauritius","mus",NA,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,1997,1997,1997,1997,1997,1997,1997,1997,1997,1997,1997,1997,1997,NA,NA
"malawi","mwi",NA,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,NA,NA
"malaysia","mys",NA,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,NA,NA
"north america","nac",NA,18124604,18124604,18124604,18124604,18124604,18124604,18124604,18124604,18124604,18124604,18124604,18124604,18124604,18124604,18124604,18124604,18124604,18124604,18124604,18124604,18124604,18124604,18124604,18124604,18124604,18124604,18124604,18124604,18124604,18124604,18124604,18124604,18124604,18124604,18124604,18124604,18124604,18124604,18124604,18127564,18127564,18127564,18127564,18127564,18127564,18127564,18127564,18113064,18113064,18113064,18113064,18113064,18113064,18113064,18113064,18113064,18113064,18113064,18113064,18113064,17936174,17936174,NA,NA,NA
"namibia","nam",NA,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,NA,NA
"new caledonia","ncl",NA,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,NA,NA
"niger","ner",NA,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,NA,NA
